passenger_count,trip_distance,RatecodeID,total_amount,trip_duration,pickup_borough_Brooklyn,pickup_borough_EWR,pickup_borough_Manhattan,pickup_borough_Queens,pickup_borough_Staten Island,pickup_borough_Unknown,dropoff_borough_Brooklyn,dropoff_borough_EWR,dropoff_borough_Manhattan,dropoff_borough_Queens,dropoff_borough_Staten Island,dropoff_borough_Unknown,payment_type
4,2.68,1.0,17.76,12.783333333333331,False,False,True,False,False,False,False,False,True,False,False,False,1
2,0.0,2.0,71.22,0.1333333333333333,False,False,False,False,False,True,False,False,False,False,False,True,1
1,8.65,1.0,30.8,23.716666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
0,1.1,1.0,12.85,7.416666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,10.72,1.0,40.86,24.016666666666666,False,False,False,True,False,False,True,False,False,False,False,False,1
1,3.0,1.0,26.6,26.48333333333333,False,False,False,False,False,True,False,False,True,False,False,False,1
1,5.97,1.0,37.56,40.266666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
3,1.5,1.0,12.3,8.483333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.56,1.0,21.04,21.85,False,False,True,False,False,False,False,False,True,False,False,False,1
5,2.28,1.0,21.96,20.166666666666668,False,False,True,False,False,False,False,False,True,False,False,False,1
1,11.1,1.0,36.3,26.566666666666663,False,False,True,False,False,False,False,False,False,True,False,False,1
1,0.64,1.0,11.8,5.983333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,8.6,1.0,41.75,33.38333333333333,False,False,True,False,False,False,False,False,False,False,False,False,1
3,0.85,1.0,6.96,3.8333333333333335,False,False,True,False,False,False,False,False,True,False,False,False,1
2,1.67,1.0,13.5,7.483333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.64,1.0,16.62,9.066666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.79,1.0,15.36,11.916666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.44,1.0,13.56,8.65,False,False,True,False,False,False,False,False,True,False,False,False,1
3,1.74,1.0,14.16,7.45,False,False,True,False,False,False,False,False,True,False,False,False,1
1,18.01,2.0,74.1,48.1,False,False,False,True,False,False,False,False,True,False,False,False,1
1,1.05,1.0,12.88,7.633333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.0,1.0,10.3,6.15,False,False,True,False,False,False,False,False,True,False,False,False,1
4,1.0,1.0,12.35,7.216666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
